微博id,微博正文,发布时间,点赞数,转发数,评论数
ObkGagdZN,极氪MIX首发亮相北京车展，作为一台MPV，在家庭场景化上费劲了心思，前排主驾副驾座椅都支持电动旋转，旋转180度，前后排面对面坐着，支持20+场景使用，让车内变成客餐厅！想象一下，你周末开着极氪MIX带着一家人出去玩，但是外面下雨了，你们在车里还能打麻将，或者孩子写会作业？真移动的家#数码博主逛展日记# [组图共11张] 原图 ,2024-04-25 11:38,137,4,24
Obkn0pFW1,仰望U8越野玩家版上市，售价109.8万元。只需10万，就能加装车载无人机仰望U7首发亮相，首搭比亚迪全新悬架调节技术云辇-Z，今年下半年上市，定位百万级新能源旗舰轿车腾势Z9 GT全球首秀，首搭比亚迪易三方技术，三电机马力接近1000匹，百公里加速2秒级，独创后轮独立转向，兼顾纯电和混动，更多技术5月发布，今年中上市#数码博主逛展日记# [组图共9张] 原图 ,2024-04-25 10:50,232,10,35
Obk3dtmr0,旧腾势logo vs 新腾势logo哪个外观看着更有逼格？  [组图共2张] 原图 ,2024-04-25 10:02,237,9,52
ObjVL52sk,北京车展小米汽车发布会雷军称，截止4月24日小米SU7锁单量超过75723台，发布28天已经交付5781台。小米SU7相当于几百万跑车的性能，大家开的时候一定要注意，适应一段时间。  [组图共4张] 原图 ,2024-04-25 09:43,159,5,29
ObjrvzwPc,比亚迪海狮07 EV实车到店，即将发布上市，这外观/内饰怎么评价？（图源水印）  [组图共9张] 原图 ,2024-04-25 08:29,160,6,55
Obf1jd1CF,明天上午比亚迪北京车展几场直播：9点20-9点40：腾势Z9 GT10点20：仰望U8越野玩家版上市，仰望U7亮相11点：方程豹全家族亮相11点40：秦L DM-i、海豹06 DM-i、OCEAN-M衔接的挺好  [组图共4张] 原图 ,2024-04-24 21:13,77,10,35
ObeAFg67T,#Z9打游戏强得很持久#iQOO Z9 Turbo，主打游戏性能+轻薄长续航的中端手机！同档位唯一双芯手机，骁龙8s Gen3搭配独立显示芯片Turbo，让游戏画面更流畅，游戏帧率更稳定，看视频同样能更流畅！续航能力上，电池是与宁德时代联合开发的6000毫安时蓝海电池，搭配省电黑科技，保持手机轻薄的情况下，续航能力遥遥领先同档位手机#Z9原来是贼久的意思#兼备长续航的同时还有好手感，这手机综合实力太强了 [组图共6张] 原图 ,2024-04-24 20:08,426,21,116
ObewW9sBr,iQOO Z9 Tubro（骁龙8s Gen3）12GB+256GB：1999元16GB+256GB：2299元12GB+512GB：2399元16GB+512GB：2599元iQOO Z9（骁龙7 Gen3）8GB+128GB：1499元8GB+256GB：1599元12GB+256GB：1799元12GB+512GB：1999元iQOO Z9x（骁龙6 Gen1）8GB+128GB：首发价1149元8GB+256GB：首发价1249元12GB+256GB：首发价1449元 [组图共8张] 原图 ,2024-04-24 19:58,200,10,45
Ober2F7Lk,iQOO Z9 Turbo采用华星C8直屏，144Hz超高刷新率 ，4500nit峰值亮度，局部1.5K分辨率Z9 Turbo是iQOO首款支持3840Hz超高频PWM调光的手机，支持全亮度DC调光，两套护眼方案；通过SGS低蓝光认证、低频闪认证Z9 Turbo后置LYT-600传感器，支持OIS光学防抖，还有一颗800万超广角镜头。系统上也支持使用蓝心小VZ9和Z9 Turbo很多地方都一样，比如屏幕、电池和主摄像头等，续航更好，但是处理器是骁龙7 Gen3 [组图共9张] 原图 ,2024-04-24 19:44,144,8,23
ObcJigqi4,OPPO K12价格发布8+256GB售价1799元12+256GB售价1999元12+512GB售价2499元K12手机其他配置：后置5000万OIS主摄（IMX882）+800万超广角镜头，前置1600万镜头，ProXDR显示；120hz刷新率，2160hz PWM高频调光，局部峰值亮度1100尼特；  [组图共4张] 原图 ,2024-04-24 15:23,153,14,42
ObcEXeOsx,OPPO成立20周年地球上每天有6亿人用OPPO手机每100个中国人就有98个知道OPPOOPPO 专利申请量连续五年全球前10OPPO中国专卖店5000+OPPO K122款配色：青云、星夜厚8.37mm，重186g直屏，2.8D微弧后盖屏占比93.4%，下巴2.37mm5500毫安时电池，长寿草100W闪充27分钟从1%充到100%首销送四年电池保OPPO超耐摔金刚石架构瑞士SGS金标五星整机抗跌耐摔认证现场测试手机砸核桃，电钻钻手机骁龙7 Gen3处理器总散热面积15277平方毫米 [组图共16张] 原图 ,2024-04-24 15:13,161,16,35
ObbSS0FsT,华为Pura 70标准版真机，看着挺精致的，本来想再买个Pura 70 Pro，店员说没货，预定也不接受，这有钱都花不出去，家人们谁懂啊  [组图共9张] 原图 ,2024-04-24 13:14,202,17,71
ObaHo1jPf,#iPhone16国行售价曝光#这不是扯呢？哪次苹果手机价格曝光是100%准确的？还有5个月，iPhone 16系列发布，传闻还要持续这么久，目前看虽然升级不大，该买的还是会买  原图 ,2024-04-24 10:13,219,9,40
ObaA4kPlR,你买过平板电脑吗？[干饭人] 买过平板？  ,2024-04-24 09:55,586,3,10
ObarTBTd5,#特斯拉#Model 3高性能版来了，预售价33.59万元！百公里加速3.1秒，是你的菜？  [组图共5张] 原图 ,2024-04-24 09:35,196,10,39
Obabi9y0q,#陈震称小米SU7背离自己预期#预期这个不好讲啊！一个人一个预期，小米SU7发布前，我预计售价22到43万，没想到顶配才29.9万，这落差感，你受得了吗？不过有一个预期准确了，第一批没买到。。。。  [组图共4张] 原图 ,2024-04-24 08:54,156,8,49
Oba1yFbEF,#苹果计划为iPad推出计算器应用# iPad发布上市至今14年了，系统里面居然没有计算器app，这次终于要加上了，这个就叫做创新  [组图共2张] 原图 ,2024-04-24 08:30,156,10,39
Ob9VVrdbH,"Counterpoint：中国智能手机市场连续第二季度同比增长, 华为、荣耀、小米表现强劲2024年第一季度中国智能手机销量同比增长1.5%，环比增长4.6%，连续第二个季度同比正增长。华为在本季度所有的手机品牌厂商中脱颖而出，同比增长 69.7%；荣耀也出现了两位数的增长。vivo 排名第一，其次是荣耀和苹果。由于华为的卷土重来改变了高端市场的格局，苹果一季度销量同比下降19.1%。预计 2024 年市场将出现低个位数同比增长。 原图 ",2024-04-24 08:16,41,6,33
Ob5Tr1mun,iQOO Z9 Turbo，明天19点直播发布，顶配版卖多少？前5个猜对价格送个小红包[666]  原图 ,2024-04-23 21:59,127,1,96
Ob5Qbc0gg,OPPO K12发布会，明天14点30分，顶配版卖多少？前5个猜对价格送个小红包[666]  原图 ,2024-04-23 21:51,125,1,63
