微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
MyzQTeYyS,没来得及发，红米Note12 Turbo主打性能，堆了骁龙7+G2+3725mm²VC。但超窄边柔性直屏和64Mp Deco设计也不错，机身控制在了181g+7.9mm，所以电池容量从去年的5500改成了5000，咚咚咚一下  ,,无,无,无,2023-03-23 11:04,无,5018,32,955
Myzp2oGyn,真我GT Neo5 SE官宣定档4.3发布，比红米Note12 Turbo晚一丢丢，同样是骁龙7+Gen2，看看哪家能焊门了。  ,,无,无,无,2023-03-23 09:55,无,3377,15,498
Myz3SqHh8,之前也暗示过了，红米Note12 Turbo去掉了塑料支架  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/006BlblIgy1hc9im557pdj30u00k6gsh.jpg,http://ww1.sinaimg.cn/large/006BlblIgy1hc9im5h5ssj313z0bw41v.jpg",无,无,2023-03-23 09:03,无,6186,30,1123
MyuVTz30n,关于屏下前摄，至少今年只有中兴系推新机。TOP5大部分厂商都放弃这个技术了，转向实用向路子，毕竟成本接近的FHD+屏下前摄体验还是不如高素质的QHD+打孔屏。  ,,无,无,无,2023-03-22 22:32,无,3809,35,694
MysPlnC1a,OPPO Reno10系列几款新机都摸完了，现在备案了PHW110和PHU110，感觉设计都蛮好看的，都是居中单孔高频调光曲屏+后置左上角椭圆三摄的设计思路[开学季]  ,,无,无,无,2023-03-22 17:11,无,5174,19,738
Mys7j7mvs,16GB+1TB中端机不止一个哦，下个月中端机还有18GB+512GB，毕竟上游内存价格崩了。另外16GB LPDDR5X+1TB UFS4.0旗舰机也要大量上货了  ,,无,无,无,2023-03-22 15:22,无,6927,58,1008
MyrLKxdmt,首个第二代骁龙7+的新机跑分出来了！真我GT Neo5 SE百万跑分性能还是可圈可点的，最大的亮点还是这个16+1TB超大内存，这波属于越级体验了  原图 ,,https://wx1.sinaimg.cn/large/006BlblIgy1hc8mfqwx75j30jg0la77k.jpg,无,无,2023-03-22 14:29,无,3510,29,696
MyqWL5gJQ,Find X6 Pro开启高频调光后是全亮度1440Hz PWM，好像是目前唯一一款全亮度高频调光手机。这块屏幕功耗会相对高点儿，护眼方案在E6里还行。。。  原图 ,,https://wx1.sinaimg.cn/large/006BlblIgy1hc8intvxb6j32dc2dc1ky.jpg,无,无,2023-03-22 12:23,无,7711,23,818
Myqmnj5o4,坐等换新方案的原生5X 50Mp IMX858  ,,无,无,无,2023-03-22 10:54,无,2867,16,723
MypT4yxB1,一加11全新材质的新版本要来了，行业第一次用，做到了每部手机后盖纹理都不一样，摸上去冰冰凉凉，质感很好，之前以为工艺太难直接砍掉了，没想到真的让他们搞出来了  ,,无,无,无,2023-03-22 09:42,无,4913,33,743
