微博id,微博正文,发布时间,点赞数,转发数,评论数
Nf85h6PrL,来一些K60至尊版的样张对比，①，②，③，你更喜欢哪个？（主摄/自动）  [组图共9张] 原图 ,2023-08-18 12:11,74,2,45
Nf84S0YoR,来一些K60Ultra的样张对比，①，②，③，你更喜欢哪个？（主摄/自动）  [组图共9张] 原图 ,2023-08-18 12:10,111,6,80
Nf0dCFHl6,不开玩笑，手感颜值真的都很棒~定制的小米13Ultra【面条壳】上架啦：大米定制：小米13Ultra 面条壳  超薄/肤感/精致/好用其它几个颜色，下周陆续会生产出来~  [组图共3张] 原图 ,2023-08-17 16:09,81,3,47
NeY2L6kCH,图1，图2 喜欢哪个？（主摄2X变焦，自动）  [组图共6张] 原图 ,2023-08-17 10:37,528,17,221
NeRhZEqsD,K60至尊版的相机大家想看对比哪台？Ace2Pro开售还要等一段时间~  ,2023-08-16 17:25,1652,3,402
NeR2WbYbd,[我来了]小米13定制【面条壳】：网页链接呼呼，经过3个月反复打磨，小米13系列面条壳终终终于是做出来了。设计这款壳的时候，我们的主要目标是既要又要，颜值、手感在线，同时保护性也要兼顾到一些。所以我们选择了超薄PC这个线路。原本以为6月中旬就可以上架，但实际开模，生产过程中遇...全文 ,2023-08-16 16:48,194,14,94
NeQQU7aU7,不知道明年iQOO 会不会加入中端机大战，Neo系列最火的还是Neo5那时候，后来存在感是逐年降低的感觉~  ,2023-08-16 16:19,1250,4,259
NeQPnxxOO,卢伟冰发微博了  原图 ,2023-08-16 16:15,4845,18,751
NeQMmd9Pl,一加Ace2Pro、K60至尊版、iQOO Neo8Pro大家会怎么选？ 一加Ace2Pro、K60至尊版、iQOO Neo8Pro大家会怎么选？  ,2023-08-16 16:07,14810,6,332
NeQKpCd02,一加Ace2Pro价格公布：12+256GB 2999元，16+512GB 3399元，24GB+1TB 3999元，大家觉得怎么样？买不买？  [组图共2张] 原图 ,2023-08-16 16:03,6049,40,697
NeQJcCfeC,对比K60至尊版  原图 ,2023-08-16 16:00,1967,12,272
NeQJ2ynDC,本来没有这页PPT，临时加的...对比小米13、K60Pro  [组图共2张] 原图 ,2023-08-16 15:59,2022,14,275
NeQIMh9se,前几天，雷总在发布会上...  原图 ,2023-08-16 15:59,1133,5,142
NeQI11DM6,那么到底会不会连夜睡服高管呢？  原图 ,2023-08-16 15:57,303,2,64
NeQHInppZ,去年3%，半年后Ace系列是友商K系列的56%  原图 ,2023-08-16 15:56,1008,1,108
NeQHuvbRF,一加Ace系列销量同比增长1537%（当然也和Ace1代拉胯有关）  原图 ,2023-08-16 15:55,234,1,43
NeQFQBLzT,好像说狗东上已经有价格曝光了2999？  ,2023-08-16 15:51,825,1,153
NeQE6nl8J,美依礼芽  [组图共3张] 原图 ,2023-08-16 15:47,586,2,136
NeQC2rwxW,这里的友商是？  [组图共2张] 原图 ,2023-08-16 15:42,766,6,120
NeQBv7zzI,主摄IMX890+OIS，全面继承OPPO旗舰系列的影像算法引擎和影像调校  [组图共2张] 原图 ,2023-08-16 15:41,438,1,81
NeQB0FaRH,2160Hz高频PWM调光（这次就不知道是不是低亮度高频，高亮度低频了）  原图 ,2023-08-16 15:39,235,2,46
NeQAM9lMb,短焦指纹有一个优点：成本比较便宜超薄指纹有一个缺点：成本比较贵其实吧，前几年2000-3000档很多在用超薄屏下啊  原图 ,2023-08-16 15:39,1138,4,247
NeQAotJUS,指纹来了  [组图共2张] 原图 ,2023-08-16 15:38,149,2,55
NeQzH5SMN,Q9+发光材料  原图 ,2023-08-16 15:36,323,2,46
NeQyZp5aw,C口150W  原图 ,2023-08-16 15:34,108,1,67
NeQyR7GkT,边充边玩，对比的友商是iQOO11S?  [组图共3张] 原图 ,2023-08-16 15:34,238,3,58
NeQxVqWT0,150W闪充，1600次充放电循环 剩余容量≥80%  [组图共2张] 原图 ,2023-08-16 15:32,569,2,79
NeQwN8ADo,天线增强  [组图共2张] 原图 ,2023-08-16 15:29,155,1,35
NeQvt0VtS,超薄屏下 vs 短焦指纹，相差多少钱？  ,2023-08-16 15:26,322,2,91
NeQutgseC,0809 少花1500万，0916 多花1500万  原图 ,2023-08-16 15:23,898,5,134
NeQtP38oT,问题不大，下个插件，大部分手机都可以画质全开  原图 ,2023-08-16 15:22,94,2,33
